Model,Accuracy,Precision,Recall,F1-Score
KNN,0.9797857142857143,0.9799582528133902,0.9797857142857143,0.9797785249443384
LogisticRegression,0.9689285714285715,0.9689380709372981,0.9689285714285715,0.9689253748602354
SVM,0.9652857142857143,0.965291925879109,0.9652857142857143,0.9652717890444115
SVM_Tuned,0.9651428571428572,0.9651500993355963,0.9651428571428572,0.9651302756207867
RandomForest,0.9639285714285715,0.9639190767570798,0.9639285714285715,0.963895511779749
